      Iter       Train Loss      OOB Improve   Remaining Time 
         2           1.1211           0.1079            1.50s
         3           1.0289           0.1008            1.31s
         4           0.9491           0.0671            1.06s
         5           0.8868           0.1008            0.90s
         6           0.8276           0.0339            0.80s
         7           0.7800           0.0596            0.72s
         8           0.7340           0.0148            0.65s
         9           0.6996           0.0528            0.60s
        10           0.6693           0.0444            0.55s
        20           0.4838          -0.0426            0.25s
        30           0.4023           0.0443            0.04s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2348           0.1366            1.13s
         2           1.1207           0.1098            1.23s
         3           1.0277           0.0954            1.11s
         4           0.9473           0.0753            1.10s
         5           0.8803           0.0662            1.10s
         6           0.8239           0.0596            1.02s
         7           0.7789           0.0541            0.98s
         8           0.7303           0.0335            0.84s
         9           0.6983           0.0464            0.83s
        10           0.6603           0.0202            0.82s
        20           0.4736           0.0008            0.67s
        30           0.4077           0.0233            0.56s
        40           0.3521           0.0236            0.38s
        50           0.3205           0.0003            0.21s
        60           0.2971           0.0085            0.06s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2291           0.1392            1.37s
         2           1.1191           0.1189            0.98s
         3           1.0272           0.0962            0.97s
         4           0.9476           0.0786            0.96s
         5           0.8848           0.0722            0.92s
         6           0.8225           0.0506            0.77s
         7           0.7767           0.0538            0.86s
         8           0.7334           0.0408            0.78s
         9           0.6898           0.0273            0.78s
        10           0.6629           0.0377            0.80s
        20           0.4803           0.0280            0.64s
        30           0.3915           0.0039            0.51s
        40           0.3477           0.0155            0.35s
        50           0.3152          -0.0032            0.21s
        60           0.2881          -0.0154            0.06s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2368           0.1374            0.00s
         2           1.1204           0.1058            0.49s
         3           1.0256           0.0919            0.65s
         4           0.9513           0.0838            0.72s
         5           0.8837           0.0642            0.77s
         6           0.8298           0.0618            0.63s
         7           0.7821           0.0496            0.65s
         8           0.7375           0.0393            0.67s
         9           0.7024           0.0402            0.68s
        10           0.6605           0.0183            0.72s
        20           0.4757          -0.0054            0.59s
        30           0.4014          -0.0029            0.47s
        40           0.3617          -0.0008            0.34s
        50           0.3326           0.0064            0.20s
        60           0.2987          -0.0016            0.06s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2334           0.1394            1.12s
         2           1.1225           0.1169            1.04s
         3           1.0300           0.0942            0.97s
         4           0.9499           0.0743            0.92s
         5           0.8856           0.0721            0.89s
         6           0.8222           0.0419            0.88s
         7           0.7796           0.0631            0.85s
         8           0.7308           0.0273            0.84s
         9           0.6944           0.0388            0.82s
        10           0.6566           0.0216            0.80s
        20           0.4827           0.0224            0.67s
        30           0.3953          -0.0036            0.52s
        40           0.3459          -0.0118            0.40s
        50           0.3179           0.0098            0.23s
        60           0.2933          -0.0174            0.07s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2371           0.1392            1.00s
         2           1.1179           0.1018            0.99s
         3           1.0253           0.0974            0.99s
         4           0.9466           0.0802            1.00s
         5           0.8826           0.0732            0.96s
         6           0.8207           0.0479            0.95s
         7           0.7693           0.0446            0.90s
         8           0.7306           0.0522            0.89s
         9           0.6945           0.0389            0.91s
        10           0.6593           0.0219            0.85s
        20           0.4670          -0.0062            0.70s
        30           0.3779           0.0058            0.52s
        40           0.3422           0.0212            0.38s
        50           0.3180           0.0301            0.23s
        60           0.2901          -0.0138            0.06s
