      Iter       Train Loss      OOB Improve   Remaining Time 
         8           0.7301           0.0427            0.86s
         9           0.6902           0.0280            0.85s
        10           0.6675           0.0574            0.84s
        20           0.4780           0.0108            0.68s
        30           0.3949          -0.0024            0.53s
        40           0.3461           0.0176            0.39s
        50           0.3172          -0.0095            0.23s
        60           0.3058           0.0312            0.07s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2337           0.1369            0.93s
         2           1.1240           0.1212            0.96s
         3           1.0273           0.0833            0.94s
         4           0.9488           0.0790            0.88s
         5           0.8804           0.0625            0.89s
         6           0.8228           0.0541            0.90s
         7           0.7781           0.0611            0.88s
         8           0.7315           0.0280            0.88s
         9           0.6986           0.0455            0.87s
        10           0.6682           0.0405            0.85s
        20           0.4785           0.0320            0.68s
        30           0.4000           0.0309            0.53s
        40           0.3463           0.0078            0.37s
        50           0.3228           0.0289            0.22s
        60           0.3000          -0.0229            0.06s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2332           0.1403            0.48s
         2           1.1180           0.1090            1.22s
         3           1.0208           0.0882            1.13s
         4           0.9435           0.0864            1.07s
         5           0.8758           0.0668            1.03s
         6           0.8214           0.0659            1.00s
         7           0.7719           0.0480            0.97s
         8           0.7272           0.0391            0.96s
         9           0.6886           0.0320            0.93s
        10           0.6535           0.0257            0.90s
        20           0.4673           0.0133            0.72s
        30           0.3823          -0.0083            0.55s
        40           0.3406          -0.0090            0.40s
        50           0.3153          -0.0063            0.23s
        60           0.2883          -0.0199            0.07s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2341           0.1388            1.02s
         2           1.1195           0.1037            1.00s
         3           1.0268           0.1020            1.30s
         4           0.9509           0.0916            1.23s
         5           0.8809           0.0492            1.18s
         6           0.8241           0.0582            1.08s
         7           0.7761           0.0548            1.10s
         8           0.7318           0.0300            1.07s
         9           0.6964           0.0500            0.97s
        10           0.6648           0.0255            1.01s
        20           0.4760           0.0209            0.79s
        30           0.3932          -0.0099            0.60s
        40           0.3540           0.0127            0.43s
        50           0.3232          -0.0076            0.25s
        60           0.3046           0.0380            0.07s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2329           0.1366            1.11s
         2           1.1201           0.1151            1.05s
         3           1.0283           0.1008            1.14s
         4           0.9494           0.0772            1.08s
         5           0.8830           0.0670            1.04s
         6           0.8207           0.0274            1.01s
         7           0.7805           0.0999            1.05s
         8           0.7347           0.0208            1.01s
         9           0.6952           0.0213            1.03s
        10           0.6629           0.0324            1.00s
        20           0.4825           0.0343            0.83s
        30           0.3961           0.0090            0.64s
        40           0.3515          -0.0278            0.45s
        50           0.3204          -0.0044            0.26s
        60           0.3017           0.0198            0.07s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2343           0.1425            2.22s
         2           1.1191           0.1067            1.49s
         3           1.0239           0.0912            1.15s
         4           0.9446           0.0829            1.08s
         5           0.8781           0.0739            1.25s
         6           0.8212           0.0615            1.29s
         7           0.7683           0.0299            1.43s
         8           0.7260           0.0447            1.36s
         9           0.6908           0.0495            1.34s
        10           0.6595           0.0395            1.32s
        20           0.4746           0.0081            0.98s
        30           0.3885           0.0105            0.73s
        40           0.3427          -0.0025            0.50s
        50           0.3138           0.0178            0.29s
        60           0.2939          -0.0048            0.08s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2342           0.1399            1.00s
         2           1.1210           0.1096            1.04s
         3           1.0279           0.0983            1.00s
         4           0.9490           0.0751            1.00s
         5           0.8827           0.0713            0.98s
         6           0.8232           0.0381            0.97s
         7           0.7754           0.0640            0.93s
         8           0.7360           0.0689            0.97s
         9           0.6986           0.0267            1.00s
        10           0.6665           0.0293            0.98s
        20           0.4801           0.0124            0.81s
        30           0.3948           0.0053            0.64s
        40           0.3462          -0.0560            0.44s
        50           0.3227           0.0193            0.26s
        60           0.2960          -0.0242            0.08s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2354           0.1378            0.51s
         2           1.1214           0.1014            0.99s
         3           1.0276           0.0909            0.97s
         4           0.9470           0.0639            1.67s
         5           0.8860           0.1115            1.50s
         6           0.8285           0.0523            1.54s
         7           0.7768           0.0286            1.42s
         8           0.7313           0.0135            1.33s
         9           0.6998           0.0807            1.26s
        10           0.6665           0.0199            1.20s
        20           0.4813           0.0584            0.86s
        30           0.3937           0.0085            0.66s
